"";"trim";"RCAR6T"
"1";1980-01-01;805,799987793
"2";1980-02-01;811,599975586
"3";1980-03-01;895,200012207
"4";1980-04-01;743,299987793
"5";1980-05-01;696,700012207
"6";1980-06-01;701,900024414
"7";1980-07-01;772,599975586
"8";1980-08-01;685,5
"9";1980-09-01;674,099975586
"10";1980-10-01;847,5
"11";1980-11-01;698,200012207
"12";1980-12-01;649,400024414
"13";1981-01-01;647,5
"14";1981-02-01;764
"15";1981-03-01;962,700012207
"16";1981-04-01;751,299987793
"17";1981-05-01;733,599975586
"18";1981-06-01;723,799987793
"19";1981-07-01;706,799987793
"20";1981-08-01;801,099975586
"21";1981-09-01;687,200012207
"22";1981-10-01;648,799987793
"23";1981-11-01;584,599975586
"24";1981-12-01;522,900024414
"25";1982-01-01;534,700012207
"26";1982-02-01;632,5
"27";1982-03-01;777
"28";1982-04-01;668,900024414
"29";1982-05-01;774,299987793
"30";1982-06-01;651
"31";1982-07-01;629,5
"32";1982-08-01;608,900024414
"33";1982-09-01;671,200012207
"34";1982-10-01;656
"35";1982-11-01;743,400024414
"36";1982-12-01;632
"37";1983-01-01;595,799987793
"38";1983-02-01;627,799987793
"39";1983-03-01;821,400024414
"40";1983-04-01;761,900024414
"41";1983-05-01;836,599975586
"42";1983-06-01;903,799987793
"43";1983-07-01;791,599975586
"44";1983-08-01;740,700012207
"45";1983-09-01;704,799987793
"46";1983-10-01;860,799987793
"47";1983-11-01;781,700012207
"48";1983-12-01;751,700012207
"49";1984-01-01;778,5
"50";1984-02-01;841,400024414
"51";1984-03-01;963,900024414
"52";1984-04-01;895,599975586
"53";1984-05-01;1047
"54";1984-06-01;952,400024414
"55";1984-07-01;889,799987793
"56";1984-08-01;814,900024414
"57";1984-09-01;743,5
"58";1984-10-01;901,5
"59";1984-11-01;802,400024414
"60";1984-12-01;759,299987793
"61";1985-01-01;829,900024414
"62";1985-02-01;833,400024414
"63";1985-03-01;965
"64";1985-04-01;983,299987793
"65";1985-05-01;1068,5
"66";1985-06-01;920,200012207
"67";1985-07-01;892,400024414
"68";1985-08-01;995,400024414
"69";1985-09-01;1064,30004883
"70";1985-10-01;859,099975586
"71";1985-11-01;758,400024414
"72";1985-12-01;808,5
"73";1986-01-01;866,799987793
"74";1986-02-01;829,700012207
"75";1986-03-01;893,799987793
"76";1986-04-01;969,299987793
"77";1986-05-01;1068,5
"78";1986-06-01;997,799987793
"79";1986-07-01;949,700012207
"80";1986-08-01;949
"81";1986-09-01;1213,09997559
"82";1986-10-01;902,099975586
"83";1986-11-01;778,5
"84";1986-12-01;987,400024414
"85";1987-01-01;621,799987793
"86";1987-02-01;774,400024414
"87";1987-03-01;927
"88";1987-04-01;931,299987793
"89";1987-05-01;861,200012207
"90";1987-06-01;935,099975586
"91";1987-07-01;905,700012207
"92";1987-08-01;959,200012207
"93";1987-09-01;896,900024414
"94";1987-10-01;794,5
"95";1987-11-01;729,200012207
"96";1987-12-01;834,599975586
"97";1988-01-01;757,200012207
"98";1988-02-01;880,5
"99";1988-03-01;998,5
"100";1988-04-01;895,099975586
"101";1988-05-01;966,900024414
"102";1988-06-01;1002,59997559
"103";1988-07-01;856
"104";1988-08-01;878,700012207
"105";1988-09-01;822,299987793
"106";1988-10-01;829
"107";1988-11-01;786,799987793
"108";1988-12-01;872
"109";1989-01-01;711,900024414
"110";1989-02-01;745,599975586
"111";1989-03-01;879,200012207
"112";1989-04-01;904,599975586
"113";1989-05-01;963,799987793
"114";1989-06-01;888,799987793
"115";1989-07-01;837,099975586
"116";1989-08-01;963,5
"117";1989-09-01;829,900024414
"118";1989-10-01;739,200012207
"119";1989-11-01;672,299987793
"120";1989-12-01;640,900024414
"121";1990-01-01;743,299987793
"122";1990-02-01;716,5
"123";1990-03-01;850,299987793
"124";1990-04-01;802,099975586
"125";1990-05-01;872,400024414
"126";1990-06-01;857,299987793
"127";1990-07-01;803,200012207
"128";1990-08-01;786
"129";1990-09-01;769
"130";1990-10-01;787,799987793
"131";1990-11-01;661,200012207
"132";1990-12-01;651,099975586
"133";1991-01-01;554,599975586
"134";1991-02-01;621,5
"135";1991-03-01;730,299987793
"136";1991-04-01;690,700012207
"137";1991-05-01;769,5
"138";1991-06-01;771,700012207
"139";1991-07-01;773,200012207
"140";1991-08-01;690,400024414
"141";1991-09-01;671,400024414
"142";1991-10-01;702
"143";1991-11-01;606,5
"144";1991-12-01;593,200012207
"145";1992-01-01;560,5
"146";1992-02-01;651,099975586
"147";1992-03-01;720,400024414
"148";1992-04-01;715,799987793
"149";1992-05-01;733,700012207
"150";1992-06-01;824,799987793
"151";1992-07-01;733,599975586
"152";1992-08-01;644,799987793
"153";1992-09-01;673,700012207
"154";1992-10-01;694,5
"155";1992-11-01;601
"156";1992-12-01;660,5
"157";1993-01-01;562,200012207
"158";1993-02-01;593,400024414
"159";1993-03-01;735,099975586
"160";1993-04-01;768,700012207
"161";1993-05-01;812,099975586
"162";1993-06-01;835,599975586
"163";1993-07-01;763,5
"164";1993-08-01;697,099975586
"165";1993-09-01;704
"166";1993-10-01;717,299987793
"167";1993-11-01;667,599975586
"168";1993-12-01;661,099975586
"169";1994-01-01;606,099975586
"170";1994-02-01;698,599975586
"171";1994-03-01;876,200012207
"172";1994-04-01;785,799987793
"173";1994-05-01;814,5
"174";1994-06-01;871,400024414
"175";1994-07-01;713,200012207
"176";1994-08-01;782,299987793
"177";1994-09-01;741,799987793
"178";1994-10-01;738
"179";1994-11-01;670,700012207
"180";1994-12-01;691,799987793
"181";1995-01-01;581,5
"182";1995-02-01;649,099975586
"183";1995-03-01;798,700012207
"184";1995-04-01;685,900024414
"185";1995-05-01;825,200012207
"186";1995-06-01;852,799987793
"187";1995-07-01;721,299987793
"188";1995-08-01;806,400024414
"189";1995-09-01;714,900024414
"190";1995-10-01;701,599975586
"191";1995-11-01;644,5
"192";1995-12-01;654,299987793
"193";1996-01-01;567
"194";1996-02-01;690,599975586
